X2024.1	X2024.2	X2024.3	X2024.4	U3047	U3013	U3117	U3056	U3039	U3017	U3071	U3073	U3020	e12A
ENSG00000004777.18_ARHGAP33	10.3218270878099	10.068547600465	10.6938422548173	10.4194471687411	10.2363492713346	9.68989869096441	9.93325989716775	9.82808223380599	9.64374574978545	11.1861696206897	8.0404735238552	9.03655845236946	9.02458325270745	8.15026767484984
ENSG00000004779.10_NDUFAB1	10.8883365745846	10.3745633688182	10.2594434194969	10.3271531126073	9.34871315096069	9.90418555131372	9.16320577876669	9.91308625904068	9.3477976595154	9.14856446869613	9.24768699664843	9.72310205200785	10.0616051152717	9.97216970979531
ENSG00000004799.8_PDK4	7.89260331027024	9.64288190141302	11.2859522620456	9.9563763526977	5.87090291931701	6.51942421687156	6.13964887148781	5.68284451378311	6.48300609598097	6.25838204169679	6.3447568195407	6.16762909861401	5.68284451378311	8.49614307092131
ENSG00000004838.14_ZMYND10	7.12981146668039	6.61672870758152	7.02191684318138	6.98532366498157	6.49248594366133	7.35992507178744	7.07838069622882	6.14377874981657	8.20964825711002	6.84189614550061	5.98093331490752	6.57956190245634	6.74833004250018	6.1620341847268
ENSG00000004848.8_ARX	8.68721277191291	8.89816055191407	9.22239903365044	8.83060537093995	8.00446070411472	7.8306040275695	7.39604050147127	9.65463499569197	9.66977546203111	9.67341820093802	7.68257253860249	6.76445651372974	6.3657430316456	6.00311675068021
ENSG00000004864.14_SLC25A13	7.47361557806832	7.54601169198467	7.3090139185469	7.60357460548678	9.14168160161335	10.2807378048895	9.72404177633023	10.746854596024	9.89013951032667	9.46647754966124	10.4414383802801	9.4634939906605	10.1820278196127	10.3399483580701
ENSG00000004866.22_ST7	8.62600027236342	8.91357233068009	8.69205604032025	8.77512605882842	8.3696698828726	8.85942351510771	8.40154186031959	8.3547758507986	8.64970044945673	8.79986567875692	9.20767345662134	8.09607822220439	9.5451371303357	8.76192954871535
ENSG00000004897.12_CDC27	9.85605000982648	10.1351859646727	10.0822507941359	10.2687928856853	10.4536647045529	11.083126299924	10.4341874241311	10.1881247429005	10.3747028845142	9.88268029764722	10.7351509589597	11.0395510555834	10.9700934720987	11.4288429202457
ENSG00000004961.15_HCCS	8.81131425374923	9.016985707088	8.74573584806929	8.76294701990176	9.02928273868044	9.25439247275819	8.96308963086056	8.88131023291258	8.76335845183948	8.0441272742249	9.54139065421964	9.70289677902291	9.60455746360918	8.6152824313482
ENSG00000004975.12_DVL2	8.47756430649604	8.76838743671865	8.76983425321664	8.54736521946327	10.2887934246922	10.637662155404	10.0274366231438	10.4596006696513	10.1554603817817	10.5003445622925	10.1580280527932	10.2901850182195	10.1438305390957	10.2754672969107
